group_mt5,name,description
Stocks\US,DAL,Delta Air Lines Inc
Stocks\US,DAVE,Dave Inc
Stocks\US,DDOG,Datadog Inc - Class A
Stocks\US,DELL,Dell Technologies Inc
Stocks\US,DISNEY,WALT DISNEY CO/THE
Stocks\US,DLTR,Dollar Tree Inc
Stocks\US,DOCU,DocuSign Inc
Stocks\US,DXC,DXC Technology Corp
Stocks\US,EQR,Equity Residential
Stocks\US,ESS,Essex Property Trust Inc
Stocks\US,EXPE,Expedia Group Inc
Stocks\US,EXXON,EXXON MOBIL CORP
Stocks\US,F,Ford Motor Co
Stocks\US,FCEL,FuelCell Energy Inc
Stocks\US,FDX,FedEx Corp
Stocks\US,FIG,Figma Inc
Stocks\US,FITB,Fifth Third Bancorp
Stocks\US,FOX,Fox Corp - Class B
Stocks\US,FSLR,First Solar Inc
Stocks\US,FTNT,Fortinet Inc
Stocks\US,FUTU,Futu Holdings Ltd
Stocks\US,GILD,Gilead Sciences Inc
Stocks\US,GLXY,Galaxy Digital Inc.
Stocks\US,GM,General Motors Co
Stocks\US,GNRC,Generac Holdings Inc
Stocks\US,GOOG,ALPHABET INC-CL C
Stocks\US,GRAB,Grab Holdings Ltd (ADRs)
Stocks\US,GS,Goldman Sachs Group Inc
Stocks\US,HD,HOME DEPOT INC
Stocks\US,HON,HONEYWELL INTERNATIONAL INC
Stocks\US,HOOD,ROBINHOOD MARKETS INC - A
Stocks\US,HPE,Hewlett Packard Enterprise Co / HPE
Stocks\US,HSBCn,HSBC HOLDINGS PLC-SPONS ADR
Stocks\US,HTHT,Huazhu Group Ltd
Stocks\US,HUT,Hut 8 Mining Corp
Stocks\US,IBM,INTL BUSINESS MACHINES CORP
Stocks\US,IBN,ICICI Bank Ltd (ADRs)
Stocks\US,ICL,ICL Group Ltd (ADRs)
Stocks\US,INSM,Insmed Incorporated
Stocks\US,INTEL,INTEL CORP
Stocks\US,INTU,Intuit Inc
Stocks\US,IP,International Paper Co
Stocks\US,IR,Ingersoll Rand Inc
Stocks\US,ISRG,Intuitive Surgical Inc
Stocks\US,ITW,Illinois Tool Works / ITW
Stocks\US,JBL,Jabil Inc
Stocks\US,JD,JD.COM INC-ADR
Stocks\US,JNJ,JOHNSON & JOHNSON
Stocks\US,JPM,JPMORGAN CHASE & CO
Stocks\US,KO,COCA-COLA CO/THE
Stocks\US,LAC,Lithium Americas Corp
Stocks\US,LAUR,Laureate Education Inc
Stocks\US,LBTYK,Liberty Global Ltd. Class C
Stocks\US,LI,LI AUTO INC - ADR
Stocks\US,LITE,Lumentum Holdings Inc
Stocks\US,LLY,Eli Lilly & Co
Stocks\US,LMT,Lockheed Martin Corp
Stocks\US,LPL,LG Display Co Ltd (ADRs)
Stocks\US,LRCX,Lam Research Corp
Stocks\US,LULU,LULULEMON ATHLETICA INC
Stocks\US,LYB,LyondellBasell Industries - Class A
Stocks\US,LYFT,Lyft Inc
Stocks\US,MA,MASTERCARD INC - A
Stocks\US,MARA,"Marathon Digital Holdings, Inc"
Stocks\US,MAT,Mattel Inc
Stocks\US,MCD,MCDONALD'S CORP
Stocks\US,MCK,Mckesson Corp
Stocks\US,MELI,Mercado Libre
Stocks\US,MET,Metlife Inc
Stocks\US,META,Meta Platforms Inc
Stocks\US,MFA,MFA Financial Inc
Stocks\US,MMM,3M CO
Stocks\US,MOH,Molina Healthcare Inc
Stocks\US,MPLX,MPLX LP
Stocks\US,MRK,Merck & Co Inc
Stocks\US,MRNA,MODERNA INC
Stocks\US,MRVL,Marvell Technology Group Ltd
Stocks\US,MS,Morgan Stanley
Stocks\US,MSFT,MICROSOFT  CORP
Stocks\US,MSTR,Strategy Inc.
Stocks\US,MU,Micron Technology Inc
Stocks\US,NEM,Newmont Mining
Stocks\US,NFLX,NETFLIX INC
Stocks\US,NIO,NIO INC - ADR
Stocks\US,NKE,Nike Inc
Stocks\US,NOC,Northrop Grumman Corp
Stocks\US,NOW,ServiceNow Inc
Stocks\US,NTAP,Netapp Inc
Stocks\US,NTES,NETEASE INC-ADR
Stocks\US,NVIDIA,NVIDIA CORP
Stocks\US,NVS,NOVARTIS AG-SPONSORED ADR
Stocks\US,NWS,News Corp - Class B
Stocks\US,OKLO,Oklo Inc
Stocks\US,OKTA,Okta Inc
Stocks\US,ORCL,ORACLE CORP
Stocks\US,OXY,Occidental Petroleum Corp
Stocks\US,PDD,Pinduoduo Inc (ADRs)
Stocks\US,PEG,Public Service Enterprise Group / PSEG
Stocks\US,PENN,Penn National Gaming Inc
Stocks\US,PEP,PEPSICO INC
Stocks\US,PFIZER,PFIZER INC
Stocks\US,PG,PROCTER & GAMBLE CO/THE
Stocks\US,PGR,Progressive Corp
Stocks\US,PLAY,Dave & Buster's Entertainmen
Stocks\US,PLTR,Palantir Technologies Inc
Stocks\US,PM,PHILIP MORRIS INTERNATIONAL
Stocks\US,POOL,Pool Corp
Stocks\US,PPL,PPL Corp
Stocks\US,PSIX,Power Solutions International Inc
Stocks\US,PVH,PVH Corp
Stocks\US,PYPL,PayPal Holdings Inc
Stocks\US,QCOM,QUALCOMM Inc
Stocks\US,QQQ,Invesco QQQ Trust Series 1 ETF
Stocks\US,RACE,Ferrari NV
Stocks\US,RBLX,Roblox Corp - Class A
Stocks\US,REGN,Regeneron Pharmaceuticals
Stocks\US,RF,Regions Financial Corp
Stocks\US,RIOT,"Riot Platforms, Inc"
Stocks\US,RIVN,Rivian Automotive Inc
Stocks\US,RKLB,Rocket Lab Corp
Stocks\US,ROKU,Roku Inc
Stocks\US,ROST,Ross Stores Inc
Stocks\US,RSG,Republic Services Inc
Stocks\US,SBET,SharpLink Gaming Inc
Stocks\US,SBUX,STARBUCKS CORP
Stocks\US,SE,SEA LTD-ADR
Stocks\US,SHOP,SHOPIFY INC - CLASS A
Stocks\US,SIG,Signet Jewelers Ltd
Stocks\US,SMG,ScottsMiracle-Gro Co
Stocks\US,SNAP,Snap Inc
Stocks\US,SNOW,SNOWFLAKE INC-CLASS A
Stocks\US,SNPS,Synopsys Inc
Stocks\US,SOFI,SoFi Technologies Inc
Stocks\US,SPCE,VIRGIN GALACTIC HOLDINGS INC
Stocks\US,SPG,Simon Property Group Inc
Stocks\US,SPGI,S&P Global Inc
Stocks\US,SPOT,Spotify Technology SA
Stocks\US,SRE,Sempra Energy
Stocks\US,STRL,Sterling Infrastructure Inc
Stocks\US,STX,Seagate
Stocks\US,STZ,Constellation Brands Inc - Class A
Stocks\US,SWK,Stanley Black & Decker Inc
Stocks\US,TCOM,Trip.com Group Ltd
Stocks\US,TEAM,Atlassian Corp PLC - Class A
Stocks\US,TFC,Truist Financial Corp
Stocks\US,TGT,Target Corp
Stocks\US,TLN,Talen Energy Corp
Stocks\US,TME,Tencent Music Entertainment Group – ADR
Stocks\US,TOYOTA,TOYOTA MOTOR CORP -SPON ADR
Stocks\US,TQQQ,ProShares UltraPro QQQ ETF
Stocks\US,TRMB,TRIMBLE INC
Stocks\US,TROW,T. Rowe Price Group Inc
Stocks\US,TRV,The Travelers Companies Inc
Stocks\US,TSLA,Tesla
Stocks\US,TSM,TAIWAN SEMICONDUCTOR-SP ADR
Stocks\US,TTD,The Trade Desk Inc - Class A
Stocks\US,TTWO,Take-Two Interactive SoftwareInc
Stocks\US,TWLO,Twilio Inc - Class A
Stocks\US,TXN,Texas Instruments Inc
Stocks\US,U,UNITY SOFTWARE INC
Stocks\US,UBER,Uber Technologies Inc
Stocks\US,UL,Unilever Plc
Stocks\US,ULTA,Ulta Beauty Inc
Stocks\US,UMC,United Microelectronics Corp (ADRs)
Stocks\US,UNH,UNITEDHEALTH GROUP INC
Stocks\US,UPS,United Parcel Service Inc
Stocks\US,UPST,Upstart Holdings Inc
Stocks\US,URNM,Sprott Uranium Miners ETF
Stocks\US,USB,U.S. Bancorp
Stocks\US,VISA,VISA INC-CLASS A SHARES
Stocks\US,VRT,Vertiv Holdings Co
Stocks\US,VZ,VERIZON COMMUNICATIONS INC
Stocks\US,WDAY,Workday Inc - Class A
Stocks\US,WDC,Western Digital Corp
Stocks\US,WEN,Wendy's Co
Stocks\US,WFC,WELLS FARGO & CO
Stocks\US,WM,Waste Management Inc
Stocks\US,WMT,WALMART INC
Stocks\US,WPM,Wheaton Precious Metals Corp
Stocks\US,WU,Western Union Co
Stocks\US,WY,Weyerhaeuser Co
Stocks\US,XPEV,XPENG INC - ADR
Stocks\US,YUM,Yum! Brands Inc
Stocks\US,YUMC,Yum China Holdings Inc
Stocks\US,ZIM,Zim Integrated Shipping Services Ltd (ADRs)
Stocks\US,ZM,ZOOM VIDEO COMMUNICATIONS-A
