symbol	meaning	description	human_family	human_family_title	catalog_group	path
AVGO	Broadcom Inc	Broadcom Inc	stocks	US Stocks	stocks	Stocks\US\AVGO
AXP	American Express Co	American Express Co	stocks	US Stocks	stocks	Stocks\US\AXP
BAC	BANK OF AMERICA CORP	BANK OF AMERICA CORP	stocks	US Stocks	stocks	Stocks\US\BAC
BAIDU	BAIDU INC - SPON ADR	BAIDU INC - SPON ADR	stocks	US Stocks	stocks	Stocks\US\BAIDU
BBD	Banco Bradesco	Banco Bradesco	stocks	US Stocks	stocks	Stocks\US\BBD
BBWI	Bath & Body Works Inc	Bath & Body Works Inc	stocks	US Stocks	stocks	Stocks\US\BBWI
BE	Bloom Energy Corp	Bloom Energy Corp	stocks	US Stocks	stocks	Stocks\US\BE
BEN	Franklin Resources Inc	Franklin Resources Inc	stocks	US Stocks	stocks	Stocks\US\BEN
BITF	Bitfarms Ltd	Bitfarms Ltd	stocks	US Stocks	stocks	Stocks\US\BITF
BKNG	Booking Holdings Inc	Booking Holdings Inc	stocks	US Stocks	stocks	Stocks\US\BKNG
BLK	Blackrock Inc	Blackrock Inc	stocks	US Stocks	stocks	Stocks\US\BLK
BLSH	Bullish Inc.	Bullish Inc.	stocks	US Stocks	stocks	Stocks\US\BLSH
BMBL	Bumble Inc	Bumble Inc	stocks	US Stocks	stocks	Stocks\US\BMBL
BMNR	BitMine Immersion Technologies Inc	BitMine Immersion Technologies Inc	stocks	US Stocks	stocks	Stocks\US\BMNR
BNTX	BIONTECH SE-ADR	BIONTECH SE-ADR	stocks	US Stocks	stocks	Stocks\US\BNTX
BOEING	BOEING CO/THE	BOEING CO/THE	stocks	US Stocks	stocks	Stocks\US\BOEING
BRKB	Berkshire Hathaway Inc - Class B	Berkshire Hathaway Inc - Class B	stocks	US Stocks	stocks	Stocks\US\BRKB
BUD	ANHEUSER-BUSCH INBEV SPN ADR	ANHEUSER-BUSCH INBEV SPN ADR	stocks	US Stocks	stocks	Stocks\US\BUD
BYND	Beyond Meat	Beyond Meat	stocks	US Stocks	stocks	Stocks\US\BYND
CAH	Cardinal Health Inc	Cardinal Health Inc	stocks	US Stocks	stocks	Stocks\US\CAH
CAT	Caterpillar Inc	Caterpillar Inc	stocks	US Stocks	stocks	Stocks\US\CAT
CDNS	Cadence Design Systems Inc	Cadence Design Systems Inc	stocks	US Stocks	stocks	Stocks\US\CDNS
CIM	Chimera Investment Corp	Chimera Investment Corp	stocks	US Stocks	stocks	Stocks\US\CIM
CISCO	CISCO SYSTEMS INC	CISCO SYSTEMS INC	stocks	US Stocks	stocks	Stocks\US\CISCO
CITI	CITIGROUP INC	CITIGROUP INC	stocks	US Stocks	stocks	Stocks\US\CITI
CL	Colgate-Palmolive Co	Colgate-Palmolive Co	stocks	US Stocks	stocks	Stocks\US\CL
CLS	Celestica Inc	Celestica Inc	stocks	US Stocks	stocks	Stocks\US\CLS
CLSK	CleanSpark Inc	CleanSpark Inc	stocks	US Stocks	stocks	Stocks\US\CLSK
CMCSA	COMCAST CORP-CLASS A	COMCAST CORP-CLASS A	stocks	US Stocks	stocks	Stocks\US\CMCSA
COHR	Coherent Corp	Coherent Corp	stocks	US Stocks	stocks	Stocks\US\COHR
COIN	COINBASE GLOBAL INC -CLASS A	COINBASE GLOBAL INC -CLASS A	stocks	US Stocks	stocks	Stocks\US\COIN
COR	Cencora Inc.	Cencora Inc.	stocks	US Stocks	stocks	Stocks\US\COR
COST	Costco Wholesale Corp	Costco Wholesale Corp	stocks	US Stocks	stocks	Stocks\US\COST
CRCL	Circle Internet Group Inc	Circle Internet Group Inc	stocks	US Stocks	stocks	Stocks\US\CRCL
CRDO	Credo Technology Group Holding Ltd	Credo Technology Group Holding Ltd	stocks	US Stocks	stocks	Stocks\US\CRDO
CRM	SALESFORCE.COM INC	SALESFORCE.COM INC	stocks	US Stocks	stocks	Stocks\US\CRM
CRWD	Crowdstrike Holdings Inc	Crowdstrike Holdings Inc	stocks	US Stocks	stocks	Stocks\US\CRWD
CTRA	Coterra Energy Inc	Coterra Energy Inc	stocks	US Stocks	stocks	Stocks\US\CTRA
CVX	CHEVRON CORP	CHEVRON CORP	stocks	US Stocks	stocks	Stocks\US\CVX
DAL	Delta Air Lines Inc	Delta Air Lines Inc	stocks	US Stocks	stocks	Stocks\US\DAL
DAVE	Dave Inc	Dave Inc	stocks	US Stocks	stocks	Stocks\US\DAVE
DDOG	Datadog Inc - Class A	Datadog Inc - Class A	stocks	US Stocks	stocks	Stocks\US\DDOG
DELL	Dell Technologies Inc	Dell Technologies Inc	stocks	US Stocks	stocks	Stocks\US\DELL
DISNEY	WALT DISNEY CO/THE	WALT DISNEY CO/THE	stocks	US Stocks	stocks	Stocks\US\DISNEY
DLTR	Dollar Tree Inc	Dollar Tree Inc	stocks	US Stocks	stocks	Stocks\US\DLTR
DOCU	DocuSign Inc	DocuSign Inc	stocks	US Stocks	stocks	Stocks\US\DOCU
DXC	DXC Technology Corp	DXC Technology Corp	stocks	US Stocks	stocks	Stocks\US\DXC
EQR	Equity Residential	Equity Residential	stocks	US Stocks	stocks	Stocks\US\EQR
ESS	Essex Property Trust Inc	Essex Property Trust Inc	stocks	US Stocks	stocks	Stocks\US\ESS
EXPE	Expedia Group Inc	Expedia Group Inc	stocks	US Stocks	stocks	Stocks\US\EXPE
EXXON	EXXON MOBIL CORP	EXXON MOBIL CORP	stocks	US Stocks	stocks	Stocks\US\EXXON
F	Ford Motor Co	Ford Motor Co	stocks	US Stocks	stocks	Stocks\US\F
FCEL	FuelCell Energy Inc	FuelCell Energy Inc	stocks	US Stocks	stocks	Stocks\US\FCEL
FDX	FedEx Corp	FedEx Corp	stocks	US Stocks	stocks	Stocks\US\FDX
FIG	Figma Inc	Figma Inc	stocks	US Stocks	stocks	Stocks\US\FIG
FITB	Fifth Third Bancorp	Fifth Third Bancorp	stocks	US Stocks	stocks	Stocks\US\FITB
FOX	Fox Corp - Class B	Fox Corp - Class B	stocks	US Stocks	stocks	Stocks\US\FOX
FSLR	First Solar Inc	First Solar Inc	stocks	US Stocks	crypto	Stocks\US\FSLR
